name,2024-02-20
༼ つ ◕_◕ ༽つ,14.487485855694315
PI9,16.881955049270854
Rnt,20.37080934392353
BridgeForCast,15.82860672405661
SVK,18.225196911284645
sukantabasu,22.475265866145747
Eguzkinet,14.326082288522336
ProbProfit,23.320450504982585
LSEG Power Team,13.88833363262142
Oracle,17.440708747305134
UI BUD,21.261025383506855
HyForecast,19.48173897549948
EnergiWise,17.437220319656642
GM Team Mannheim,28.93769997765806
Njord,21.953195002712047
TáSol,28.490347753323707
gsp23,119.21755742401614
ODC,42.80402570912231
mariscos,22.08437302228001
Stochastic Parrots,19.303450763149996
quantopia,15.177075517847094
NICE_Forecast,20.743543375752225
justForFun,20.08005657193851
GEB,20.807281316674324
Team Auckland,26.001490093472242
CUFE,33.69717807482646
cld,57.44391200053237
KittenKilowatt,16.77114321695599
NAECO Blue GmbH,16.336873679021938
DDDelft,20.80023992494221
CRL,19.41107942975682
HelloWorld,20.8041751101274
OLPZR,22.905249039398175
Matrix,20.755266022164438
ReWind,60.51932332332168
The Onliners,24.44921533281257
Aphelion,46.18867021804971
mizu,18.291206106076466
SiaPartners_Team,27.710751966855664
FCOR_BL,24.603999024739537
Wu Forecast,36.172857358391276
ForMare,52.111608817308884
CuriousEngineer,71.68212105163771
forecaaaaast,69.71698643443281
6340,36.12783508049775
Intelligent Electrical Power Traders,20.804550120659805
Glassbowl-Prediction,43.34103013686905
RUPowered,131.56661064276614
Benchmark,121.50494860572907
aisopb,121.27740230943282
vishleshak,121.27740230943282
Auror,131.24392545758096
Energon Unlimited,124.35247638350684
Ihubex,135.32887916128462
KIT-IAI,71.0276478630209
RE-Cast,151.32887916128462
MiaoMiaoJiao,141.80989767980319
power_rabbit,126.6845782353587
